Country_Name,Country_Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Maldives,MDV,,,,,,,10000,80000,571474,712506,949148,1145422,8406400,4541128,5129802,4591968,6914464,8194187,21586914,24766283,24378453,23468609,28193750,26149830,31220398,47951943,76166937,98305131,118535056,127116484,122801165,95341540,135638959,162249406,206512425,189032887,234391278,311434228,243588885,275592736,364318766,348650282
Mali,MLI,900000,2067995,3749132,4226351,6109780,4195902,6895032,6949216,11375596,15625094,25634125,24869106,25328149,23416218,32445064,28673261,19646396,24963098,43696188,123369557,197765533,325999065,314190137,339781278,228624487,322950389,442845503,414894711,402878745,349687908,382455137,348668795,590804315,952478637,851339486,854256244,969533304,1087121418,1071545625,1604476586,1344375978,1378583494
Mauritania,MRT,3200000,7504565,13459416,42243177,103811970,47725242,81982578,50940399,81397325,117973809,146443450,166215885,144182621,110167515,81044026,62846491,52714485,77375496,60285160,87029774,58538416,71680834,65014875,49051952,44081264,85456192,141217944,200751636,48755774,35280000,46246079,36653570,70141786,27022883,33727017,64468253,187185036,197825713,188595950,225351721,271688466,484718215
Mauritius,MUS,46190000,51697682,70118244,66826039,131073693,165977226,89513769,67871956,53255920,48428425,112825200,50005978,55135758,32229095,35170101,42240121,150724971,361672159,463214001,542375435,761194275,914948832,840552378,781068498,771186144,863310753,896105236,693250715,559006309,730978542,897435380,835621204,1227371681,1577284266,1605921021,1339904492,1269634150,1780302337,1742653938,2178769694,2441835029,2582677062
Mexico,MEX,756033730,981456969,1296682590,1679818127,1920866329,1896784848,1403804525,1938338433,2269381286,3087691809,4175319283,4971262424,1777613455,4793446006,8018704804,5678880168,6673539955,13691984923,6326669601,6740243827,10216846003,18052066577,19171355378,25298703947,6441390824,16846814410,19432724204,28797466416,31799032446,31782189275,35508842537,44740742182,50594445120,58955641471,64140698987,74054140517,76270544995,87109237144,95126103809,99589207904,120000000000,144000000000
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,2452050,76335779,179920381,257008881,311958017,365985641,143562517,185700972,222490326,228532262,268855942,302270799,470258875,597448068,775478572,1333684647,1672406461,1480265226,1717685351,1964977532
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,22824548,66017364,94180778,117028109,107436415,175711634,94086535,136489707,178768461,155631285,218505216,196882127,193737293,333150650,583395918,801746766,561481850,1294472976,2196704310,2275162975
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432665269,688838332,435670240,572612999,556155062,392694777
Morocco,MAR,141722000,176837990,252590665,307948131,504349105,437657206,549011032,609585582,772082126,917484589,813620197,509516102,539242248,375256518,265729347,345295874,486544466,751948887,836286995,770803381,2337533793,3349097038,3818641750,3929934650,4621504529,3601133539,3794028615,3992744553,4435029649,5689358857,4823173407,8473862913,10132656323,13851145141,16336624429,16187425496,20340718263,24123275381,22103775239,22797349300,22613081883,19526120788
Mozambique,MOZ,,,,,,,,,,,,,,,55294037,45886268,56746936,118022758,173596743,203495525,231744264,240557217,233365000,187240822,177505721,195318936,344062455,517354653,608498398,654007640,723179362,713224220,802498122,937499604,1130955248,1053820110,1155731241,1444691333,1577732161,2099265973,2159394273,2468772053
